frame,left_knee,right_knee,left_hip,right_hip,left_elbow,right_elbow,left_shoulder,right_shoulder
1,120.59,160.37,141.3,172.19,117.4,134.9,12.25,28.67
2,166.96,126.68,176.11,146.27,112.79,133.55,12.05,30.5
3,168.3,129.65,179.9,142.85,111.31,133.05,11.92,33.31
4,165.94,138.04,177.95,146.41,115.11,129.14,11.32,37.2
5,164.6,146.78,175.95,151.53,113.81,127.72,5.36,41.13
6,159.99,154.3,175.99,154.64,106.61,127.54,1.22,43.2
7,153.95,160.52,175.88,158.54,112.28,128.35,0.39,43.45
8,147.16,165.09,177.06,162.04,115.03,129.55,0.94,43.09
9,144.2,164.72,178.99,163.19,107.56,128.08,3.08,43.13
10,143.97,164.13,178.08,163.26,110.18,125.2,3.09,42.48
11,168.52,132.37,162.61,179.72,114.24,126.08,0.7,37.7
12,165.9,175.51,162.65,175.26,127.43,132.99,0.03,29.66
13,161.28,167.22,161.71,169.11,134.43,137.96,0.68,22.71
14,158.01,163.33,161.42,164.73,138.47,151.09,0.76,15.18
15,111.05,159.01,159.8,162.85,134.71,156.26,1.58,5.63
16,105.26,156.42,159.2,159.33,139.83,149.98,5.94,6.63
17,107.1,154.06,156.44,160.49,138.9,153.44,8.11,6.63
18,104.72,161.86,152.74,165.54,135.29,143.08,9.75,6.98
19,110.04,161.29,149.2,168.28,132.79,133.98,11.78,15.58
20,116.02,162.81,146.45,169.55,133.63,107.89,14.94,16.06
21,120.11,163.92,144.14,172.48,130.9,88.46,20.13,14.08
22,129.37,168.5,145.64,175.3,126.51,78.07,26.62,13.77
23,137.23,167.56,147.91,178.46,123.96,79.83,30.63,12.56
24,145.09,166.78,149.94,179.52,122.71,90.12,33.92,14.01
25,151.63,164.46,152.18,179.4,122.28,87.26,35.99,14.43
26,156.13,158.4,153.8,178.79,122.19,93.73,36.29,13.72
27,156.81,152.88,153.83,178.3,123.64,102.61,34.48,11.27
28,160.32,143.08,157.27,179.37,124.18,109.5,33.65,10.34
29,160.28,130.31,159.59,177.28,126.93,117.08,29.62,9.5
30,159.18,117.88,159.51,174.95,131.27,131.65,23.58,9.5
31,155.02,146.36,159.44,170.8,136.29,140.06,14.97,9.0
32,152.81,103.31,161.04,162.38,133.5,143.19,13.5,6.81
33,148.94,94.6,157.88,158.66,134.29,145.83,7.21,4.48
34,147.0,94.36,158.14,157.11,136.72,142.97,2.78,4.27
35,142.26,95.83,156.26,156.95,140.89,144.59,0.25,5.58
36,143.03,95.83,158.49,153.4,141.84,147.0,6.81,6.24
37,148.35,95.28,162.98,144.06,124.02,144.46,4.57,5.49
38,154.44,99.37,169.28,140.13,121.94,135.03,11.57,1.86
39,149.47,112.71,165.17,143.61,103.49,117.25,9.51,3.34
40,164.01,118.25,178.87,140.74,102.77,138.11,9.56,5.77
41,166.74,125.39,177.55,140.44,105.35,149.76,9.6,14.75
42,166.47,135.17,175.28,143.67,107.18,140.67,8.88,25.66
43,165.06,141.17,173.41,145.78,112.5,136.97,7.08,29.15
44,164.58,148.56,172.59,151.15,119.66,138.11,8.06,31.18
45,161.35,153.1,173.41,152.35,123.23,138.56,7.22,30.9
46,155.72,158.5,174.89,156.59,128.98,135.42,8.28,31.33
47,154.0,161.53,174.74,159.74,139.89,134.44,8.54,30.77
48,146.55,160.48,177.89,159.74,142.62,137.82,7.2,28.02
49,140.1,158.93,179.21,158.8,143.44,145.97,5.49,22.58
50,165.83,162.27,161.87,160.83,146.33,150.59,4.01,19.02
51,158.62,160.33,159.29,157.21,153.23,151.44,1.39,5.99
52,120.62,157.41,160.79,154.03,152.46,151.21,0.97,7.29
53,114.55,152.44,160.71,155.93,148.16,149.96,3.15,6.44
54,110.49,151.43,159.21,156.69,148.89,148.96,4.41,9.43
55,110.07,151.08,155.66,156.33,149.23,121.31,5.06,9.62
56,113.67,158.71,152.89,161.06,150.94,93.73,7.73,12.69
57,116.54,160.19,147.86,165.05,152.51,69.74,10.18,15.18
58,120.5,162.36,144.7,168.34,147.38,59.69,18.9,19.19
59,128.42,164.34,143.17,171.12,137.65,54.68,29.55,19.9
60,135.41,165.67,143.37,174.63,132.46,51.87,35.0,18.85
61,142.31,168.32,144.64,177.4,130.66,52.81,38.06,19.07
62,149.32,171.46,147.79,178.13,129.74,54.3,40.91,18.19
63,154.83,168.68,149.88,175.62,128.97,59.12,42.9,15.21
64,159.47,163.94,151.6,174.2,129.82,60.04,42.3,13.39
65,162.45,157.18,153.47,172.9,129.66,69.87,41.82,10.53
66,161.76,150.99,154.15,172.64,135.38,97.31,38.42,9.81
67,158.42,134.71,154.55,177.55,138.62,119.84,32.55,11.36
68,157.75,122.02,155.04,178.94,143.1,134.08,26.2,11.43
69,153.54,109.84,154.92,174.21,146.34,140.49,18.6,10.13
70,149.31,95.33,155.16,166.35,146.9,143.99,11.21,8.65
71,148.13,87.86,155.16,159.93,145.53,153.13,6.96,4.9
72,146.62,86.1,155.56,155.24,146.81,152.04,3.45,3.32
73,144.01,90.7,155.28,153.52,144.53,154.4,0.66,4.29
74,147.3,93.5,158.47,149.1,144.94,149.75,7.01,5.11
75,151.89,95.13,162.92,141.71,137.94,127.57,10.95,5.9
76,157.0,102.94,168.73,138.95,122.89,118.06,8.88,6.69
77,164.06,112.85,175.24,137.85,114.7,121.23,10.63,9.08
78,167.33,121.3,179.36,137.34,108.56,138.36,11.6,5.21
79,157.2,155.7,178.14,158.39,102.18,107.28,7.51,5.71
80,173.83,138.6,172.58,140.92,106.69,157.06,9.84,18.24
81,175.02,144.6,171.38,143.33,112.31,168.04,11.4,14.86
82,173.78,151.09,169.77,145.44,110.78,151.08,11.07,26.16
83,170.87,157.34,169.37,149.57,115.25,148.5,10.8,28.24
84,165.21,161.18,170.51,151.54,114.67,146.77,9.39,28.09
85,158.94,162.02,170.61,151.83,123.44,147.93,7.42,25.33
86,153.88,162.06,170.17,153.78,132.99,148.37,6.37,24.18
87,138.39,160.57,173.78,154.2,136.52,145.18,2.9,12.98
88,125.35,156.73,178.22,153.25,141.46,155.13,1.9,12.76
89,110.72,152.21,177.3,151.36,143.14,142.64,0.41,1.57
90,98.91,149.96,169.68,152.35,151.77,156.92,1.42,1.23
91,85.73,152.36,159.56,154.71,148.69,154.98,1.19,2.86
92,129.36,128.29,158.11,153.92,149.14,148.89,3.71,5.57
93,97.11,151.87,155.76,156.74,153.63,134.89,6.11,8.34
94,89.83,154.57,151.14,157.67,154.28,116.94,8.26,13.89
95,96.96,157.7,146.16,162.79,152.46,91.73,13.41,16.7
96,100.95,161.85,141.34,167.42,133.41,66.57,32.43,18.24
97,111.66,161.84,138.3,170.3,126.57,65.08,40.73,20.81
98,123.24,164.95,139.14,175.0,125.06,62.27,44.77,21.24
99,130.55,169.86,140.25,179.56,122.51,56.94,48.52,21.34
100,137.18,173.54,140.83,174.53,122.2,52.3,49.27,19.71
101,143.95,170.83,141.84,172.63,124.14,54.13,48.26,19.34
102,149.63,167.21,143.65,170.35,125.84,58.02,46.42,15.36
103,153.25,160.16,145.51,170.61,127.43,62.31,44.57,12.7
104,157.44,153.23,149.91,169.21,129.96,71.77,42.76,11.05
105,158.52,139.37,152.56,171.57,137.3,96.14,34.52,9.66
106,155.48,121.1,152.84,177.1,139.19,118.33,28.86,7.78
107,126.7,161.96,169.28,170.84,141.66,133.52,22.29,6.15
108,154.89,97.69,163.51,169.23,145.58,141.81,14.47,5.17
109,153.45,80.57,156.17,161.15,146.86,148.85,5.11,0.48
110,150.79,75.07,154.97,154.3,142.25,146.37,4.56,1.64
111,145.35,74.32,153.99,151.99,134.51,147.44,0.36,2.05
112,149.1,73.11,157.54,144.45,134.16,136.22,3.88,5.49
113,154.88,81.13,163.31,137.9,130.79,142.67,9.98,2.29
114,159.74,91.18,168.37,133.76,118.12,150.53,11.6,16.08
115,164.94,98.85,174.2,129.11,101.5,113.29,12.03,3.98
116,167.65,107.25,177.19,128.05,92.02,165.91,11.61,11.51
117,170.29,117.27,178.49,129.13,96.34,151.04,10.68,25.48
118,174.59,125.1,173.15,133.2,93.35,150.22,8.46,30.19
119,173.47,135.06,171.73,139.86,95.13,154.53,7.88,31.56
120,170.26,142.73,171.32,142.35,99.93,146.05,7.42,35.99
121,165.08,149.53,172.09,144.5,113.51,149.58,7.19,33.58
122,159.03,155.8,172.48,147.44,116.7,142.08,5.39,37.27
123,153.3,157.54,172.5,149.18,124.39,141.61,3.66,35.5
124,147.9,159.76,170.98,151.77,133.82,141.47,1.48,33.93
125,132.53,162.07,173.48,154.72,138.37,134.07,1.66,32.7
126,118.43,162.82,176.33,154.7,138.37,141.94,5.93,22.84
127,102.82,156.07,178.4,154.45,140.73,138.7,8.26,14.62
128,94.57,153.0,172.64,152.59,142.94,153.49,11.94,1.91
129,85.86,154.35,162.15,153.21,145.6,157.5,12.76,0.96
130,107.99,148.4,157.81,153.44,146.45,150.72,11.83,1.93
131,106.98,152.69,155.25,156.18,152.28,145.91,14.1,8.93
132,93.74,154.82,151.71,158.86,139.88,133.74,28.35,14.68
133,95.51,159.29,145.54,163.29,132.16,101.75,38.82,18.49
134,100.65,163.37,141.1,167.97,119.71,71.89,51.87,17.95
135,111.96,163.38,136.7,171.22,117.02,57.71,57.94,19.69
136,122.16,165.46,135.91,174.59,115.77,49.49,61.49,21.87
137,129.65,168.7,137.21,178.78,117.08,57.03,62.16,26.22
138,136.49,172.36,138.02,177.5,119.13,63.98,61.25,26.07
139,143.17,169.62,140.65,176.11,120.76,66.3,59.45,23.63
140,148.72,163.61,142.97,174.43,122.57,74.04,57.48,19.48
141,153.06,158.03,144.19,169.63,121.37,75.0,56.62,14.81
142,156.5,149.2,147.73,169.87,127.78,74.43,49.73,10.86
143,158.21,137.03,151.32,171.1,130.12,97.08,43.35,8.18
144,158.96,118.44,154.8,175.53,132.26,120.98,37.28,5.06
145,158.24,101.72,154.52,179.92,138.23,139.19,29.3,0.97
146,153.53,89.57,155.03,173.96,140.99,146.14,21.18,2.09
147,151.76,79.62,152.15,164.22,143.25,152.71,10.38,0.33
148,152.46,74.85,155.07,158.89,139.7,154.41,6.17,1.22
149,144.45,75.98,154.47,154.58,130.36,150.5,4.27,1.62
150,149.21,76.27,158.07,143.31,129.63,145.83,2.92,1.56
151,154.43,83.22,164.74,138.87,124.71,137.91,6.97,1.03
152,159.35,97.21,171.08,135.3,112.05,113.35,7.18,5.59
153,165.03,106.15,178.11,131.71,106.43,107.14,10.97,1.49
154,167.74,113.13,177.99,130.45,92.47,166.64,11.73,5.54
155,171.09,124.65,173.69,135.54,88.97,125.41,8.65,0.69
156,172.24,133.72,170.74,139.42,97.18,159.03,8.66,7.78
157,170.05,142.53,168.97,142.15,105.52,129.84,6.74,0.07
158,165.96,149.31,168.16,144.03,116.26,146.58,6.44,7.78
159,159.26,156.15,168.52,147.22,123.45,164.67,6.13,14.38
160,149.17,159.42,170.87,149.31,123.69,169.96,5.07,12.52
161,139.37,159.0,170.96,150.29,134.98,162.17,3.56,14.8
162,121.76,157.77,174.66,150.95,137.93,153.11,0.72,8.82
163,105.02,155.05,175.97,149.22,142.04,148.98,5.21,4.24
164,90.91,150.47,179.27,149.4,143.72,153.25,8.86,0.01
165,79.63,147.6,171.99,151.0,148.65,147.73,6.71,2.47
166,120.81,151.63,161.77,155.65,150.03,147.8,7.18,1.22
167,144.17,126.59,159.29,156.88,148.09,138.67,10.49,5.13
168,91.92,150.9,155.64,160.38,146.37,126.46,16.43,9.17
169,90.97,155.47,149.67,163.64,139.02,99.45,27.5,13.98
170,96.73,159.33,144.71,170.18,129.64,81.13,37.76,13.57
171,108.08,162.42,140.48,176.32,124.83,65.71,44.02,15.64
172,119.69,167.69,139.23,178.73,122.31,55.03,47.92,15.94
173,128.94,172.67,140.7,173.22,127.15,47.91,46.0,16.44
174,135.36,176.4,141.1,168.49,128.62,52.24,45.66,15.98
175,143.94,173.2,142.23,165.47,130.19,53.53,44.02,13.73
176,150.52,167.77,144.57,164.65,133.9,67.33,41.13,12.25
177,154.92,158.25,146.33,165.17,135.73,70.41,38.99,7.79
178,155.44,144.23,147.34,167.78,136.51,79.16,37.21,7.86
179,157.73,132.42,151.93,169.1,138.96,110.91,32.25,6.89
180,156.21,111.85,153.3,173.76,141.57,132.58,27.67,4.66
181,150.87,93.63,153.88,179.64,140.86,142.63,23.35,4.03
182,146.22,82.06,152.61,173.72,144.56,147.37,14.5,1.77
183,148.69,70.39,154.69,164.67,146.48,150.4,7.29,3.01
184,147.4,68.28,157.33,159.86,146.31,151.13,4.37,0.14
185,143.5,73.21,157.6,155.52,131.77,155.1,5.05,0.38
186,155.03,77.52,166.07,142.96,121.9,139.79,0.57,2.61
187,159.4,86.22,172.41,137.16,109.22,131.89,4.43,3.84
188,163.1,99.59,178.21,134.38,102.82,112.66,5.35,4.74
189,165.14,108.98,177.2,131.11,102.18,97.51,2.7,5.34
190,169.62,119.69,172.77,134.96,98.39,166.23,4.88,16.34
191,172.54,131.3,169.31,140.53,98.0,165.16,4.56,21.39
192,172.92,138.75,166.87,141.84,117.71,171.32,4.25,24.83
193,168.43,147.31,166.52,144.38,118.87,169.06,4.93,26.0
194,161.52,153.61,168.02,146.51,124.71,164.76,3.28,28.74
195,153.05,157.11,169.39,148.17,120.09,162.06,0.86,27.83
196,143.45,158.13,170.63,149.54,116.3,157.68,1.59,27.19
197,129.01,159.51,172.85,151.87,125.37,166.32,1.81,13.53
198,109.22,157.67,179.12,147.22,134.17,156.3,6.17,3.04
199,98.86,150.91,179.38,148.32,139.81,163.02,7.11,2.44
200,88.65,149.48,173.8,150.0,142.83,149.56,7.85,2.04
201,80.01,148.35,163.93,153.0,146.59,153.38,6.65,3.54
202,144.31,117.9,156.04,156.38,136.51,146.36,13.23,0.29
203,90.88,152.28,154.64,158.1,138.12,141.12,20.5,5.54
204,89.51,152.48,149.8,160.09,130.27,127.42,31.19,11.09
205,96.31,159.51,144.6,166.77,121.15,94.71,42.7,13.49
206,104.52,163.63,141.69,174.38,119.97,60.72,47.31,12.73
207,116.3,167.27,140.71,179.27,118.58,47.07,50.72,18.05
208,134.84,178.09,154.39,176.64,122.56,43.83,50.14,14.99
209,134.66,174.42,143.21,169.93,123.74,44.66,50.09,17.49
210,128.91,176.44,145.26,164.9,128.23,50.6,46.65,13.87
211,148.97,166.55,146.82,163.82,130.34,60.58,44.71,13.16
212,156.44,153.1,148.5,164.78,130.08,65.5,43.41,10.11
213,158.75,136.17,149.47,167.05,131.6,97.97,40.99,6.55
214,160.31,119.55,151.99,167.35,134.87,121.6,35.21,5.09
215,156.49,100.2,152.72,170.58,141.03,138.5,27.29,3.12
216,157.52,83.27,153.67,178.98,143.86,151.05,20.46,4.98
217,151.35,73.55,151.87,175.46,145.51,157.39,10.77,2.51
218,150.55,62.12,153.25,166.93,150.05,155.75,4.29,0.58
219,150.34,59.52,157.15,158.94,144.6,153.86,1.41,2.14
220,146.17,60.48,155.72,151.64,134.44,163.59,2.06,1.95
221,150.84,66.23,159.96,143.88,132.42,159.64,8.33,3.54
222,156.74,74.66,167.68,141.29,124.92,143.18,13.14,4.4
223,159.8,97.99,173.43,137.49,102.11,113.79,12.23,8.84
224,162.79,107.52,178.65,134.2,90.8,100.87,12.18,8.78
225,166.94,116.65,176.06,135.49,90.39,91.2,13.0,6.89
226,170.01,125.59,172.49,138.71,93.77,92.74,10.3,6.82
227,170.56,134.38,170.25,141.27,99.91,159.69,10.67,5.06
228,167.2,142.4,169.24,142.58,103.16,103.73,9.99,3.03
229,162.23,149.94,168.8,143.63,175.46,90.52,12.48,3.23
230,154.46,155.99,169.35,145.54,117.47,142.79,1.57,9.42
231,144.79,160.18,170.16,148.48,127.4,165.86,4.75,7.13
232,132.71,160.79,169.83,150.07,130.6,136.41,2.89,1.28
233,113.13,161.97,173.37,152.34,137.21,153.87,1.23,1.38
234,98.78,159.54,177.52,151.34,138.32,164.37,0.89,4.17
235,86.27,152.65,177.99,151.03,138.94,162.44,1.91,3.36
236,75.36,152.14,172.15,153.27,143.37,160.34,2.28,4.36
237,69.87,150.65,164.72,154.96,148.84,159.79,2.91,3.02
238,67.21,152.58,156.83,155.57,151.13,146.62,5.84,1.45
239,75.39,153.51,154.0,157.52,149.92,135.55,10.58,5.62
240,83.91,157.09,148.83,161.65,143.08,108.62,22.3,9.21
241,94.98,161.04,144.58,169.63,137.65,90.76,30.66,12.79
